Chute_ID,Chute_Name,Chute_Group,Chute_Sensor,Site_Code,Site_Name,Panel_ID,Panel_Name,Sensor_Level,Max_Sensor_Level,Alias_Chute,Alias_Mstar,Alias_Midroc,Position,Is_Active,UTC_Modified_Date,Modified_By
1,216,CG21,OLS-26E-216,GBC,Grasberg Block Cave,68,P26E,493,1217,LP-26E-216,P26E-Orepass1,4216CH216,,true,25 Sep 2024 03:55:32,0000000000
2,332,CG33,OLS-27E-332,GBC,Grasberg Block Cave,70,P27E,426,1133,LP-27E-332,P27E-Orepass2,4332CH332,,true,17 Sep 2024 05:30:29,0000000000
3,333,CG33,OLS-28E-333,GBC,Grasberg Block Cave,72,P28E,443,1158,LP-28E-333,P28E-Orepass2,4333CH333,P28-20N,true,22 Aug 2024 09:20:24,0000000000
4,334,CG33,OLS-29E-334,GBC,Grasberg Block Cave,74,P29E,374,1221,LP-29E-334,P29E-Orepass2,4334CH334,P29-19N,true,20 Sep 2024 06:30:29,0000000000
5,335,CG33,OLS-30E-335,GBC,Grasberg Block Cave,76,P30E,443,1220,LP-30E-335,P30E-Orepass2,4335CH335,P30-18N,true,25 Sep 2024 04:30:40,0000000000
6,336,CG33,OLS-31E-336,GBC,Grasberg Block Cave,78,P31E,432,1502,LP-31E-336,P31E-Orepass2,4336CH336,P31-17N,true,25 Sep 2024 04:15:50,0000000000
7,341,CG34,OLS-32E-341,GBC,Grasberg Block Cave,80,P32E,375,1112,LP-32E-341,P32E-Orepass2,4341CH341,P32-12N,true,25 Sep 2024 05:15:38,0000000000
8,342,CG34,OLS-33E-342,GBC,Grasberg Block Cave,82,P33E,407,1210,LP-33E-342,P33E-Orepass2,4342CH342,P33-11N,true,24 Sep 2024 17:50:25,0000000000
9,343,CG34,OLS-34E-343,GBC,Grasberg Block Cave,84,P34E,423,1236,LP-34E-343,P34E-Orepass2,4343CH343,P34-11N,true,25 Sep 2024 04:15:50,0000000000
10,431,CG43,OLS-17W-431,GBC,Grasberg Block Cave,103,P17W,375,1453,LP-17W-431,P17W-Orepass3,4431CH431,,true,25 Sep 2024 04:00:42,0000000000
11,432,CG43,OLS-18W-432,GBC,Grasberg Block Cave,60,P18W,434,1466,LP-18W-432,P18W-Orepass3,4432CH432,,true,25 Sep 2024 01:50:40,0000000000
12,433,CG43,OLS-19W-433,GBC,Grasberg Block Cave,61,P19W,428,1525,LP-19W-433,P19W-Orepass3,4433CH433,,true,25 Sep 2024 01:24:32,NURUL SYAFITRI
13,434,CG43,OLS-20W-434,GBC,Grasberg Block Cave,62,P20W,423,1403,LP-20W-434,P20W-Orepass3,4434CH434,,true,25 Sep 2024 03:15:40,0000000000
14,435,CG43,OLS-21W-435,GBC,Grasberg Block Cave,63,P21W,404,1356,LP-21W-435,P21W-Orepass3,4435CH435,,true,19 Sep 2024 11:10:29,0000000000
